TITLE = "Grid: prim/mr_v4.2_no_tail_wing_v2_wing_set_0.17_targ_coarse_lvl_2.grid, Pointdata: sol/sol.pval.unsteady_i=2700_t=5.40000000e-01" 
VARIABLES = "Y", fx, fy, fz, mx, my, mz
#
# Force distributions of the components 
#
ZONE T="DISTR      Wing", F=POINT 
1.923936e+00   0.000000e+00   0.000000e+00	0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1.963488e+00   2.851843e+03   -2.926939e+02	3.383486e+04   6.717449e+04   9.387439e+03   -6.705094e+03
2.003041e+00   2.792398e+03   -2.679725e+02	3.393326e+04   6.871205e+04   9.101470e+03   -6.772214e+03
2.042593e+00   2.679736e+03   -2.556477e+02	3.400374e+04   7.019833e+04   8.963749e+03   -6.743872e+03
2.082145e+00   2.570236e+03   -2.459692e+02	3.414170e+04   7.182972e+04   8.864728e+03   -6.697604e+03
2.121697e+00   2.470976e+03   -2.468890e+02	3.422091e+04   7.334947e+04   8.752886e+03   -6.646059e+03
2.161249e+00   2.412964e+03   -2.456923e+02	3.430696e+04   7.489148e+04   8.617279e+03   -6.662749e+03
2.200801e+00   2.375314e+03   -2.502989e+02	3.433487e+04   7.631062e+04   8.360238e+03   -6.693974e+03
2.240353e+00   2.274718e+03   -2.564240e+02	3.436307e+04   7.773277e+04   8.199586e+03   -6.611210e+03
2.279905e+00   2.213112e+03   -2.489968e+02	3.437357e+04   7.911571e+04   8.081826e+03   -6.593825e+03
2.319458e+00   2.135348e+03   -2.442397e+02	3.440141e+04   8.053992e+04   7.974040e+03   -6.567069e+03
2.359010e+00   2.120978e+03   -2.539006e+02	3.439592e+04   8.188897e+04   7.786385e+03   -6.610756e+03
2.398562e+00   2.089500e+03   -2.624913e+02	3.444270e+04   8.336073e+04   7.655368e+03   -6.619987e+03
2.438114e+00   2.108368e+03   -2.683729e+02	3.442215e+04   8.467285e+04   7.522606e+03   -6.745825e+03
2.477666e+00   2.042025e+03   -2.671028e+02	3.437465e+04   8.591758e+04   7.393097e+03   -6.699507e+03
2.517218e+00   2.013604e+03   -2.824101e+02	3.435937e+04   8.723913e+04   7.292967e+03   -6.678524e+03
2.556770e+00   1.924004e+03   -2.753852e+02	3.436574e+04   8.861296e+04   7.303772e+03   -6.572160e+03
2.596322e+00   1.868295e+03   -2.850593e+02	3.436656e+04   8.997305e+04   7.228766e+03   -6.524395e+03
2.635875e+00   1.831846e+03   -2.846374e+02	3.433505e+04   9.124916e+04   7.157120e+03   -6.509165e+03
2.675427e+00   1.826165e+03   -3.073757e+02	3.431023e+04   9.254116e+04   7.060323e+03   -6.539164e+03
2.714979e+00   1.787380e+03   -3.156541e+02	3.427552e+04   9.380427e+04   6.981809e+03   -6.486900e+03
2.754531e+00   1.763094e+03   -3.220308e+02	3.422684e+04   9.502564e+04   6.826197e+03   -6.497644e+03
2.794083e+00   1.739575e+03   -3.250551e+02	3.418492e+04   9.625961e+04   6.743402e+03   -6.510833e+03
2.833635e+00   1.744269e+03   -3.376110e+02	3.417549e+04   9.758503e+04   6.755116e+03   -6.557172e+03
2.873187e+00   1.700974e+03   -3.515369e+02	3.412181e+04   9.878369e+04   6.595265e+03   -6.492669e+03
2.912739e+00   1.670468e+03   -3.557646e+02	3.406289e+04   9.996028e+04   6.601288e+03   -6.459244e+03
2.952292e+00   1.632281e+03   -3.632298e+02	3.401776e+04   1.011735e+05   6.553386e+03   -6.420557e+03
2.991844e+00   1.575156e+03   -3.646156e+02	3.397998e+04   1.024052e+05   6.433134e+03   -6.327532e+03
3.031396e+00   1.573093e+03   -3.731277e+02	3.387627e+04   1.034343e+05   6.256421e+03   -6.363495e+03
3.070948e+00   1.544767e+03   -3.846061e+02	3.384328e+04   1.046726e+05   6.263045e+03   -6.328552e+03
3.110500e+00   1.534009e+03   -3.947215e+02	3.384049e+04   1.060019e+05   6.238368e+03   -6.344689e+03
3.150052e+00   1.484900e+03   -4.081867e+02	3.379389e+04   1.071931e+05   6.209159e+03   -6.219963e+03
3.189604e+00   1.472352e+03   -4.220276e+02	3.372894e+04   1.083248e+05   6.126474e+03   -6.218741e+03
3.229156e+00   1.473115e+03   -4.299197e+02	3.368852e+04   1.095264e+05   6.048457e+03   -6.276747e+03
3.268709e+00   1.463403e+03   -4.422550e+02	3.364199e+04   1.107062e+05   5.970616e+03   -6.282846e+03
3.308261e+00   1.414684e+03   -4.458943e+02	3.363025e+04   1.119977e+05   5.983116e+03   -6.174787e+03
3.347813e+00   1.390051e+03   -4.521435e+02	3.354672e+04   1.130478e+05   5.841491e+03   -6.142090e+03
3.387365e+00   1.371127e+03   -4.750081e+02	3.349809e+04   1.142115e+05   5.806994e+03   -6.106197e+03
3.426917e+00   1.366577e+03   -4.768017e+02	3.349900e+04   1.155385e+05   5.761895e+03   -6.151679e+03
3.466469e+00   1.347495e+03   -4.888327e+02	3.344074e+04   1.166611e+05   5.746291e+03   -6.096817e+03
3.506021e+00   1.321714e+03   -4.996748e+02	3.337593e+04   1.177577e+05   5.720910e+03   -6.049491e+03
3.545574e+00   1.315648e+03   -5.078557e+02	3.333926e+04   1.189469e+05   5.637067e+03   -6.072923e+03
3.585126e+00   1.313789e+03   -5.271643e+02	3.330089e+04   1.201296e+05   5.604019e+03   -6.083473e+03
3.624678e+00   1.284990e+03   -5.382715e+02	3.323090e+04   1.211931e+05   5.525331e+03   -6.009376e+03
3.664230e+00   1.262215e+03   -5.435441e+02	3.316779e+04   1.222753e+05   5.372734e+03   -5.968428e+03
3.703782e+00   1.244289e+03   -5.550266e+02	3.312401e+04   1.234266e+05   5.342327e+03   -5.953399e+03
3.743334e+00   1.234020e+03   -5.577962e+02	3.308038e+04   1.245719e+05   5.275775e+03   -5.949354e+03
3.782886e+00   1.181155e+03   -5.689156e+02	3.301246e+04   1.256242e+05   5.264257e+03   -5.790762e+03
3.822438e+00   1.181994e+03   -5.807966e+02	3.299595e+04   1.268668e+05   5.180713e+03   -5.821803e+03
3.861991e+00   1.158603e+03   -5.909139e+02	3.294391e+04   1.279709e+05   5.167055e+03   -5.756512e+03
3.901543e+00   1.147028e+03   -5.995489e+02	3.287289e+04   1.289984e+05   5.024503e+03   -5.754056e+03
