TITLE = "Grid: prim/mr_v4.2_no_tail_wing_v2_wing_set_0.17_targ_coarse_lvl_2.grid, Pointdata: sol/sol.pval.unsteady_i=1800_t=3.6000000e-01" 
VARIABLES = "Y", fx, fy, fz, mx, my, mz
#
# Force distributions of the components 
#
ZONE T="DISTR      Wing", F=POINT 
1.923936e+00   0.000000e+00   0.000000e+00	0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1.963488e+00   2.877957e+03   -4.009805e+02	3.526853e+04   6.996486e+04   1.260193e+04   -6.534387e+03
2.003041e+00   2.817496e+03   -3.765209e+02	3.537459e+04   7.157469e+04   1.233633e+04   -6.599880e+03
2.042593e+00   2.703704e+03   -3.643227e+02	3.545526e+04   7.313901e+04   1.221579e+04   -6.571217e+03
2.082145e+00   2.594368e+03   -3.547615e+02	3.559911e+04   7.484030e+04   1.212683e+04   -6.525628e+03
2.121697e+00   2.494592e+03   -3.558451e+02	3.568286e+04   7.642780e+04   1.202323e+04   -6.474594e+03
2.161249e+00   2.436006e+03   -3.545665e+02	3.577122e+04   7.803283e+04   1.189133e+04   -6.491343e+03
2.200801e+00   2.397580e+03   -3.589315e+02	3.580131e+04   7.951493e+04   1.163765e+04   -6.522710e+03
2.240353e+00   2.296068e+03   -3.643953e+02	3.583042e+04   8.099750e+04   1.147839e+04   -6.441181e+03
2.279905e+00   2.234109e+03   -3.567273e+02	3.584076e+04   8.243843e+04   1.135907e+04   -6.424733e+03
2.319458e+00   2.155676e+03   -3.519910e+02	3.586774e+04   8.391894e+04   1.124514e+04   -6.397341e+03
2.359010e+00   2.140009e+03   -3.608372e+02	3.586117e+04   8.532376e+04   1.104976e+04   -6.441740e+03
2.398562e+00   2.108049e+03   -3.692120e+02	3.590830e+04   8.685470e+04   1.091652e+04   -6.451786e+03
2.438114e+00   2.127691e+03   -3.750211e+02	3.588789e+04   8.822536e+04   1.077886e+04   -6.580368e+03
2.477666e+00   2.060937e+03   -3.734358e+02	3.583957e+04   8.952628e+04   1.064181e+04   -6.535077e+03
2.517218e+00   2.031748e+03   -3.887317e+02	3.582471e+04   9.090728e+04   1.053615e+04   -6.514093e+03
2.556770e+00   1.942094e+03   -3.817018e+02	3.583159e+04   9.234069e+04   1.054023e+04   -6.408097e+03
2.596322e+00   1.886809e+03   -3.911663e+02	3.583207e+04   9.375823e+04   1.045381e+04   -6.363463e+03
2.635875e+00   1.850113e+03   -3.906972e+02	3.580048e+04   9.509230e+04   1.037607e+04   -6.348935e+03
2.675427e+00   1.844568e+03   -4.133857e+02	3.577652e+04   9.644501e+04   1.027222e+04   -6.380818e+03
2.714979e+00   1.805658e+03   -4.211867e+02	3.574117e+04   9.776466e+04   1.018120e+04   -6.330420e+03
2.754531e+00   1.781350e+03   -4.277858e+02	3.569280e+04   9.904526e+04   1.001492e+04   -6.342542e+03
2.794083e+00   1.757302e+03   -4.303448e+02	3.565345e+04   1.003447e+05   9.924744e+03   -6.356781e+03
2.833635e+00   1.761097e+03   -4.423590e+02	3.564512e+04   1.017316e+05   9.926879e+03   -6.403446e+03
2.873187e+00   1.718497e+03   -4.567710e+02	3.559051e+04   1.029861e+05   9.754256e+03   -6.341027e+03
2.912739e+00   1.689081e+03   -4.607621e+02	3.553326e+04   1.042260e+05   9.747409e+03   -6.312344e+03
2.952292e+00   1.651610e+03   -4.686244e+02	3.549046e+04   1.055047e+05   9.691578e+03   -6.276317e+03
2.991844e+00   1.595337e+03   -4.701333e+02	3.545441e+04   1.068001e+05   9.561514e+03   -6.187091e+03
